,time,latitude,longitude,speed,cog,rot,ac
0,25560.0,31.787518,121.09852,0.0,16.2,0.0,0.0
1,25800.0,31.78188,121.09664,2.7150588181601507,193.8,0.321856971337927,0.011312745075667294
2,25920.0,31.779740000000004,121.09608,2.0314457419475285,188.6,0.2559431360019521,-0.005696775635105186
3,26040.0,31.7714,121.09648,7.734468436047199,179.7,-0.04792490570172879,0.04752518911749726
4,26160.0,31.7667,121.0962,4.360717176715789,185.3,0.05950413886516317,-0.02811459382776175
5,26280.0,31.76435,121.095985,2.1841450937708524,183.1,0.09123537150204285,-0.018138100691207804
6,26400.0,31.7571,121.09543,6.732242232286257,184.8,0.07640271244655393,0.037900809487628376
7,26520.0,31.752176,121.09476,4.593136292992615,189.1,0.13523769604860236,-0.017825882827447015
8,26640.0,31.747246,121.09431,4.581998643719568,185.1,0.0910256516323109,-9.28137439420625e-05
9,26760.0,31.744713,121.094185,2.349205446173573,182.40001,0.04930859764349076,-0.018606609979549955
10,26880.0,31.739536,121.09399,4.799594969559076,181.40001,0.03764880397428437,0.020419912694879187
11,27000.0,31.735834000000004,121.09347,3.4547537232793455,188.90001,0.13955159473260728,-0.011207010385664417
12,27360.0,31.72555,121.090546,3.2680291628719846,242.8,0.27701490715454674,-0.0005186793344648913
