,time,latitude,longitude,speed,cog,rot,ac
0,30120.0,31.787586,121.09804,0.0,12.1,0.0,0.0
1,31200.0,31.784237,121.09721,0.35237543118738374,190.8,0.24294014493089333,0.00032627354739572567
2,31440.0,31.777073,121.096306,3.338209617111226,178.3,0.12552305777885,0.012440975774682676
3,31560.0,31.77382,121.0962,3.0154654536297802,182.3,0.032573780164775856,-0.0026895346956787155
4,31680.0,31.76747,121.09518,5.938677552330959,190.40001,0.1592693995526477,0.024360100822509823
5,31800.0,31.76536,121.094734,1.9864987679054669,190.40001,0.2083081859439861,-0.032934823203545766
6,31920.0,31.75998,121.0936,5.064662989441803,193.3,0.20773977246183564,0.025651368512802804
7,32040.0,31.756773,121.09248,3.0999346275309,201.6,0.3359940748406804,-0.016372736349257528
8,32160.0,31.750654,121.09327,5.704079578466906,149.1,-0.12839582334492142,0.021701207924466715
9,32280.0,31.748617,121.09391,1.9537392677709453,183.5,-0.3044215233968225,-0.03125283592246633
10,32400.0,31.743134,121.09333,5.101196543136418,176.1,0.10538957906801812,0.026228810628045607
11,32520.0,31.73738,121.093704,5.339936364972531,180.3,-0.06490695908498471,0.0019894985153009396
12,32640.0,31.735096,121.09365,2.1168379109439353,181.0,0.02363832826658079,-0.02685915378357163
13,32760.0,31.731688,121.093346,3.167011011928528,187.90001,0.08896640871798131,0.00875144250820494
14,33120.0,31.72568,121.09024,2.0271973435678095,217.2,0.4771370697996116,-0.0031661490787797735
